Object grid;;;;;;;;
Nr;Obis code;Unit;Value;Pwd;Min;Max;Status;En
Metertype   *Vnr10*;C.1.1;;;0;;;;
Serial               ;C.1.0;;;0;;;;
Device address       ;C.90.1;;;2;;;;
Time                 ;0.9.1;;;2;;;;
Date                 ;0.9.2;;;2;;;;
Pwd Cmode;PWD1;;;5;;;;
Pwd VDEW;PWD2;;;2;;;;
Pwd_User;PWD3;;;3;;;;
Pwd_Man0;PWD4;;;4;;;;
Vm1           *Vnr1*   ;7-1:13.0.0;m3;;1;00000000.000;99.999.999.999;;
Vc1_err;7-1:12.0.0;m3;;1;00000000.000;99.999.999.999;;
Vc1 ;7-1:11.1.0;m3;;1;00000000.000;99.999.999.999;;
Vb1 ;7-1:11.2.0;m3;;1;00000000.000;99.999.999.999;;
Vb1_err;7-1:12.1.0;m3;;1;00000000.000;99.999.999.999;;
Vm2_m3   ;7-2:13.0.0;m3;;1;00000000.000;99.999.999.999;;
Vm3_m3   ;7-3:13.0.0;m3;;1;00000000.000;99.999.999.999;;
Qc1_5   ;7-1:43.1.1;m3/h;;0;;;;
Qc1_nx5 ;7-1:43.1.2;m3/h;;0;;;;
Qc1_inst;7-1:43.1.0;m3/h;;0;;;;
Vc1_60  ;7-1:43.1.71;m3;;0;;;;
Qb1_5   ;7-1:43.2.1;m3/h;;0;;;;
Qb1_nx5 ;7-1:43.2.2;m3/h;;0;;;;
Qb1_inst;7-1:43.2.0;m3/h;;0;;;;
Vb1_60  ;7-1:43.2.71;m3;;0;;;;
INP1DIV     *Vnr4*;7-1:0.7.2;p/m3;;1;00000001i;01000000i;;
INP2DIV;7-2:0.7.2;p/m3;;1;00000001i;00001000i;;
INP3DIV;7-3:0.7.2;p/m3;;1;00000001i;00001000i;;
Cf1;C.98.1;;;1;00009000i;00011000i;;
Qf1;C.98.2;m3/h;;1;0;00010000i;;
Cf2;C.98.3;;;1;00009000i;00011000i;;
Qf2;C.98.4;m3/h;;1;0;00010000i;;
Cf3;C.98.5;;;1;00009000i;00011000i;;
Qf3;C.98.6;m3/h;;1;0;00010000i;;
Cf4;C.98.7;;;1;00009000i;00011000i;;
Qf4;C.98.8;m3/h;;1;0;00010000i;;
Cf5;C.98.9;;;1;00009000i;00011000i;;
Qf5;C.98.10;m3/h;;1;0;00010000i;;
Cf6;C.98.11;;;1;00009000i;00011000i;;
Qf6;C.98.12;m3/h;;1;0;00010000i;;
Cf7;C.98.13;;;1;00009000i;00011000i;;
Qf7;C.98.14;m3/h;;1;0;00010000i;;
Cf8;C.98.15;;;1;00009000i;00011000i;;
Qf8;C.98.16;m3/h;;1;0;00010000i;;
Cf9;C.98.17;;;1;00009000i;00011000i;;
Qf9;C.98.18;m3/h;;1;0;00010000i;;
Cf10;C.98.19;;;1;00009000i;00011000i;;
Qf10;C.98.20;m3/h;;1;0;00010000i;;
p_offset       *Vnr5*;C.97.1;mbar;;1;-01000000i;01000000i;;
Tcorr_min;C.97.3;;;1;-00010000i;00010000i;;
Tcorr_0  ;C.97.4;C;;1;-00001000i;00001000i;;
Tcorr_max;C.97.5;;;1;-00010000i;00010000i;;
pmin     ;C.97.6;mbar;;1;00000800i;00100000i;;
pmax     ;C.97.7;mbar;;1;00000800i;00100000i;;
Tmin     ;C.97.8;C;;1;-00000050i;00000100i;;
Tmax     ;C.97.9;C;;1;-00000050i;00000100i;;
pfix     ;7-1:42.3.0;mbar;;1;00080000i;10000000i;;
Tfix     ;7-1:41.3.0;C;;1;-00000050i;00000100i;;
CO2            *Vnr6* ;C.96.1;mol%;;1;0;00003000i;;
H2       ;C.96.2;mol%;;1;0;00001000i;;
N2       ;C.96.3;mol%;;1;0;00005000i;;
d        ;7-1:45.11.0;;;1;00005000i;00009000i;;
Hs       ;7-1:54.11.0;MJ/m3;;1;00001400i;00004800i;;
ZdivZbfix;7-1:53.3.0;;;1;00005000i;00015000i;;
tmeasure ;7-1:0.8.5;s;;1;00000005i;00000025i;;
Tb       ;7-1:41.2.0;C;;1;0;00002500i;;
pb       ;7-1:42.2.0;mbar;;1;00080000i;00120000i;;
Statusreg 1  *Vnr7*;97:97.1;;;0;;;;
Statusreg 2;97:97.2;;;0;;;;
Statusreg 3;97:97.3;;;0;;;;
VDEW Statusreg;97:97.4;;;0;;;;
Out1_div     *Vnr8*;C.94.1;m3/p;;3;00000001i;00000100i;;
Out2_div;C.94.2;m3/p;;3;00000001i;00000100i;;
Cf                *Vnr9*;7-1:51.0.0;;;0;;;;
C   ;7-1:52.2.0;;;0;;;;
Z   ;7-1:53.0.0;;;0;;;;
Z/Zb;7-1:53.2.0;;;0;;;;
p   ;7-1:42.0.0;mbar;;0;;;;
T   ;7-1:41.0.0;C;;0;;;;
EAN code             ;C.96.0;;;2;;1,23E+31;;
Serial gasmeter      ;7-1:0.2.14;;;1;;1234567890;;
Serial pressure meter;7-1:0.2.11;;;1;;1234567890;;
Serial temp meter    ;7-1:0.2.12;;;1;;1234567890;;
Gasdag               ;C.91.2;h;;2;0;24i;;
ns                   ;C.91.1;s;;2;0;60i;;
p_part_no;C.91.9;;;0;;;;
Device address       ;C.90.26;;;2;;;;
Qb1_alarm  *Vnr11*;C.92.1;m3/h;;3;0;00010000i;;
Qb1_warning    ;C.92.2;m3/h;;3;0;00010000i;;
Vb1_60_alarm   ;C.92.3;m3;;3;0;00010000i;;
Vb1_60_warning ;C.92.4;m3;;3;0;00010000i;;
Qc1_alarm      ;C.92.5;m3/h;;3;0;00010000i;;
Qc1_warning    ;C.92.6;m3/h;;3;0;00010000i;;
Vc1_60_alarm   ;C.92.7;m3;;3;0;00010000i;;
Vc1_60_warning ;C.92.8;m3;;3;0;00010000i;;
AbsVm1Vm2_alarm;C.92.9;m3;;3;0;00000100i;;
min_p_warning ;C.92.10;mbar;;3;00000800i;00100000i;;
max_p_warning ;C.92.11;mbar;;3;00000800i;00100000i;;
min_T_warning ;C.92.12;C;;3;-00000050i;00000100i;;
max_T_warning ;C.92.13;C;;3;-00000050i;00000100i;;
Version Metro *Vnr12*   ;7-0:0.2.0;;;0;;;;
Version Interface;7-0:0.2.1;;;0;;;;
GSM networkh              ;C.90.4;h;;2;0;00500000i;;
GSM commh                 ;C.90.5;h;;2;0;00500000i;;
GSM maincell              ;C.90.7;;;0;;;;
GSM Ubatt                 ;C.90.6;mV;;0;;;;
U batt                    ;C.6.3;mV;;0;;;;
AH used                   ;C.6.1;Ah;;0;;;;
hours in operation        ;C.8.0;h;;0;;;;
analog1                   ;C.90.20;;;0;;;;
AH new                    ;C.6.4;Ah;;3;;;;
CRC metro                 ;C.91.3;;;0;;;;
CRC interface             ;C.91.4;;;0;;;;
Serial metro              ;C.91.5;;;0;;;;
Serial interface          ;C.91.6;;;0;;;;
SSWnx5     *Vnr14*;C.93.1;;;3;0;03i;;
SSW1;C.93.2;;;3;0;06i;;
SSW2;C.93.3;;;3;0;06i;;
SSW3;C.93.4;;;3;0;3F;;
SSW4;C.93.5;;;3;0;3F;;
SSW5;C.93.9;;;0;0;03i;;
SSWPTZ;C.93.10;;;0;0;03i;;
SSWZWD;C.93.6;;;2;0;1;;
SSWZWP;C.93.7;;;2;0;1;;
SSWZWS;C.93.8;;;2;0;1;;
SSW6;C.93.11;;;2;0;FFFF;;
SSWM;C.93.12;;;2;0;1;;
SSWCONTR;C.93.13;;;3;0;FF;;
SSWlang;C.93.29;;;3;0;2;;
SSWZ;C.93.28;;;;;;;
SSW7;C.93.14;;;2;0;01i;;
SSWLI;0.8.5;;;2;0;05i;;
SSWCOM_MODUS;C.93.23;;;2;0;01i;OK;
DT_start     *Vnr15*;C.90.11;;;2;;;;
n0,n1,n2,n3;C.90.12;;;2;;;;
Object 131;PWD5;;;6;;;;
clearlog;P.01;;;;;;;
